"year","DEP.p","prob_at_med","TEP"
1979,119.443675866428,NA,NA
1983,64.2188583793656,0.037289656060301,119604206250513
1984,85.003031832332,0.0164054822415056,359846816683011
1985,137.96184969148,0.0132773153098551,721640650799446
1986,256.322677204412,0.0179836753188527,989876074618882
1987,165.719263188922,0.0227610109394583,505654290096507
1988,234.930629031392,0.0371208348890938,439535701041678
1989,111.911661215487,0.0130855815789208,593956395788758
1990,119.182207494292,0.0208151807491419,397652290904070
1991,209.638707815584,0.0138579933382907,1050614465051270
1992,176.497630167687,0.0216062208802014,567325516253429
1993,175.498664424087,0.0175667238643899,693833542232670
1994,88.5797492886361,0.0168114627438897,365932678304970
1996,29.5949437700366,0.0236447172300948,86927190747410.7
1998,25.6282747076236,0.0218799683360754,81347635019645.5
1999,28.9693831271766,0.00893792958983899,225099519744445
2000,35.6311295553513,0.0205360551016693,120499381958612
2001,9.99906829496359,0.0345187233691335,20117641248175
2002,75.5364959512928,0.0199451179053638,263022242771826
2003,98.4550037780274,0.0291407558004258,234643880179803
2004,76.3435888903688,0.0218980288417007,242125092023777
2005,39.5669084557191,0.0232935306468527,117969312334409
2006,6.75937881296161,0.0103842831368929,45206669769276.5
2007,44.8805848683235,0.0337253828139394,92421682395752.3
2008,53.3544341445264,0.0453790771398429,81655813314985.9
2009,27.0057239265706,0.0340704541303984,55049090907976
2010,9.52242462796065,0.0267180277321579,24752290739480.2
2011,14.2366941510099,0.0349573885086855,28284103903870.8
2012,3.80163396042801,0.0217363250391424,12146647516370.7
2013,16.5897510230317,0.02974410020993,38735688772488.2
2014,21.6133831501764,0.0314439772719799,47737264494124.6
2015,20.0558783952472,0.0294726074081143,47260180793044.9
2016,14.5141632481998,0.0224753205955274,44849577709163.8
2017,21.8692839444253,0.0177139882472065,85741378437453.5
2018,28.2137417513567,0.0368692926562298,53145699943354.8
2019,20.7723996654326,0.0120531979630661,119689659224456
2021,9.2645113714707,0.0331370930539634,19416920901928.2
2022,10.9941621886493,0.0211312174805351,36133486615479.2
2023,23.1358698916414,0.0214092180176052,75051137442442.1
2024,4.18176862252187,0.0197950662732881,14671526067384.2
2025,14.2444666272076,0.0208754257946029,47389606180647.8
1980,NA,NA,NA
1981,NA,NA,NA
1982,NA,NA,NA
1995,NA,NA,NA
1997,NA,NA,NA
2020,NA,NA,NA
