"year"	"Asym"	"xmid"	"scal"	"doytop"	"doymin"	"doymax"	"duration"	"trajet"	"date.med"	"prob_at_med"
1979	14.1235421708579	180.719725121576	-9.76883247852062	181	145	217	72	1	166	0.0152024810297303
1980	13.9345725862221	182.841386485544	-11.8278342456083	183	140	226	86	NA	NA	NA
1981	12.7314936903336	188.791625163187	-4.17109305364992	189	174	204	30	NA	NA	NA
1982	12.1204649507001	195.851134537204	-11.1889360014785	196	155	237	82	NA	NA	NA
1983	13.2547324613458	174.52359062427	-4.56576344300118	175	158	191	33	1	178	0.0474989395136776
1984	15.1233319016433	174.023748992823	-13.223843402461	174	126	222	96	1	176	0.0188034405578198
1985	14.8671947243332	174.93330385902	-12.708694138652	175	128	221	93	1	178	0.0193894127719968
1986	16.6015201594146	171.375676316066	-13.495385642385	171	122	221	99	1	175	0.0182005364412547
1987	13.9152759895889	172.118776858237	-11.7756105747601	172	129	215	86	1	172	0.0212293002390587
1988	14.4055782620978	174.351363803171	-6.97361062662963	174	149	200	51	1	173	0.0355002041107838
1988	14.4055782620978	174.351363803171	-6.97361062662963	174	149	200	51	2	183	0.0249568260539458
1989	19.667447172454	165.565418740267	-13.9251406209526	166	115	217	102	1	174	0.0164142261567459
1989	19.667447172454	165.565418740267	-13.9251406209526	166	115	217	102	2	181	0.013409482797957
1990	14.2669068121909	175.736621172259	-9.87277664838445	176	140	212	72	1	170	0.0232961523851233
1990	14.2669068121909	175.736621172259	-9.87277664838445	176	140	212	72	2	176	0.0253126421049164
1991	19.8059339130189	166.064872078598	-16.7707974761621	166	106	228	122	1	171	0.0146265204762313
1992	14.7525576618746	175.610299701652	-11.615800686138	176	133	218	85	1	173	0.0212515823733079
1992	14.7525576618746	175.610299701652	-11.615800686138	176	133	218	85	2	180	0.0207707734365374
1993	16.2377553339167	175.476224504167	-12.7024599311381	175	129	222	93	1	170	0.0187957922203447
1994	13.7689144132182	176.209409831141	-11.3840098352055	176	135	218	83	1	168	0.0193352080905862
1994	13.7689144132182	176.209409831141	-11.3840098352055	176	135	218	83	2	175	0.0218967239312308
1995	13.6169381665002	177.420139290875	-10.0136529028958	177	141	214	73	NA	NA	NA
1996	17.1012119970732	169.48162094152	-10.6738289576668	169	130	209	79	1	173	0.0227945416455321
1996	17.1012119970732	169.48162094152	-10.6738289576668	169	130	209	79	2	179	0.0193191621354516
1997	15.3922396528359	174.859689420264	-8.48877198900354	175	144	206	62	NA	NA	NA
1998	16.7820056209566	166.134915133361	-10.4032711045428	166	128	204	76	1	167	0.0239864783965617
1998	16.7820056209566	166.134915133361	-10.4032711045428	166	128	204	76	2	172	0.0222164169380754
1999	22.6066260858354	146.617343477961	-14.9350634697858	147	94	201	107	1	173	0.00838689786797147
2000	15.2033488174673	170.324776913679	-10.8670948391328	170	131	210	79	1	173	0.0226579646338925
2001	12.8353413923039	171.660447635453	-7.01681103871354	172	146	197	51	1	166	0.0304003398117092
2002	16.004421657752	169.442810917014	-12.3938596184001	169	124	215	91	1	170	0.0201633503225142
2003	16.5478463312329	170.083340796861	-8.7415658699099	170	138	202	64	1	171	0.0285130144140922
2004	12.9765530948517	176.953622168702	-9.79037309722244	177	141	213	72	1	171	0.0233093440664099
2005	18.587420031597	172.789226696442	-10.0081814961041	173	136	209	73	1	170	0.0244965252564787
2006	17.6957364880937	165.850123472034	-9.84705001775421	166	130	202	72	1	186	0.0102930006045938
2007	13.7809711864203	176.980128457713	-6.72017222082419	177	152	202	50	1	177	0.0371841969781052
2008	13.110880161962	175.372871309933	-6.5411434036056	175	151	199	48	1	177	0.037616952198538
2009	12.2683767328439	173.231182251114	-6.70161927321842	173	149	198	49	1	168	0.0321441068104318
2010	15.101565162135	169.822800598496	-9.63816326513783	170	135	205	70	1	166	0.0249401750291953
2011	13.4911924889176	170.510673466041	-3.76998940588735	171	157	184	27	1	166	0.0472667795850945
2012	16.5247170572615	161.97614580389	-8.66794557572196	162	130	194	64	1	168	0.0256174547651316
2013	15.25503938022	168.632090076091	-8.19823445303437	169	139	199	60	1	167	0.030185253570477
2014	16.5713966522058	166.786524989222	-7.724684567204	167	138	195	57	1	166	0.0322689410587367
2015	15.7242352026286	172.299812937199	-7.0220274670916	172	147	198	51	1	167	0.0309694055134218
2016	19.3923480391313	164.657428184119	-11.1670805436583	165	124	206	82	1	169	0.021561834066374
2017	14.2926547427207	174.128572227054	-4.94366844613717	174	156	192	36	1	164	0.0204718479719397
2018	12.3765568958576	171.230538260383	-1.7988409591843	171	165	178	13	1	172	0.13207325760566
2019	14.7723549082248	176.977295387451	-6.75249341217156	177	152	202	50	1	162	0.0131134138056582
2020	15.4374617574102	172.938136788121	-2.2973665370471	173	165	181	16	NA	NA	NA
2021	13.9465970691482	167.061308709975	-6.26114433023939	167	144	190	46	1	169	0.0389676000937842
2022	17.6621732956072	159.109573203511	-9.25825395085051	159	125	193	68	1	171	0.018341925209095
