"year"	"4T"	"4V"	"4W"	"total"	"prop4T"	"prop4W"	"prop4V"
1979	325	NA	NA	325	1	NA	NA
1980	91	24	NA	115	0.791	NA	0.209
1981	127	27	NA	154	0.825	NA	0.175
1982	45	4	NA	49	0.918	NA	0.082
1983	420	21	25	466	0.901	0.054	0.045
1984	1960	24	31	2015	0.973	0.015	0.012
1985	1497	NA	NA	1497	1	NA	NA
1986	1247	NA	NA	1247	1	NA	NA
1987	1050	NA	156	1206	0.871	0.129	NA
1988	812	52	25	889	0.913	0.028	0.058
1989	1169	NA	1	1170	0.999	0.001	NA
1990	1046	73	22	1141	0.917	0.019	0.064
1991	644	24	NA	668	0.964	NA	0.036
1992	601	NA	NA	601	1	NA	NA
1993	1057	64	NA	1121	0.943	NA	0.057
1994	664	81	NA	745	0.891	NA	0.109
1995	1180	95	NA	1275	0.925	NA	0.075
1996	778	129	NA	907	0.858	NA	0.142
1997	1328	87	NA	1415	0.939	NA	0.061
1998	1493	87	NA	1580	0.945	NA	0.055
1999	955	176	NA	1131	0.844	NA	0.156
2000	1173	134	NA	1307	0.897	NA	0.103
2001	1332	57	NA	1389	0.959	NA	0.041
2002	1311	209	NA	1520	0.863	NA	0.138
2003	1210	106	NA	1316	0.919	NA	0.081
2004	1094	166	NA	1260	0.868	NA	0.132
2005	1121	82	NA	1203	0.932	NA	0.068
2006	1238	185	NA	1423	0.87	NA	0.13
2007	1020	160	NA	1180	0.864	NA	0.136
2008	1343	48	NA	1391	0.965	NA	0.035
2009	971	55	NA	1026	0.946	NA	0.054
2010	677	NA	NA	677	1	NA	NA
2011	714	NA	NA	714	1	NA	NA
2012	700	NA	NA	700	1	NA	NA
2013	718	NA	NA	718	1	NA	NA
2014	1038	NA	NA	1038	1	NA	NA
2015	984	NA	NA	984	1	NA	NA
2016	1259	NA	NA	1259	1	NA	NA
2017	1111	NA	NA	1111	1	NA	NA
2018	806	19	21	846	0.953	0.025	0.022
2019	902	6	5	913	0.988	0.005	0.007
2020	881	NA	NA	881	1	NA	NA
2021	1283	54	NA	1337	0.96	NA	0.04
2022	505	NA	13	518	0.975	0.025	NA
