"year"	"trajet"	"doy.med"	"mindoy"	"maxdoy"	"date.med"	"mindate"	"maxdate"
1983	1	178	174	183	"'06-27"	"'06-23"	"'07-02"
1984	1	176	173	181	"'06-24"	"'06-21"	"'06-29"
1985	1	178	173	182	"'06-27"	"'06-22"	"'07-01"
1986	1	175	171	178	"'06-24"	"'06-20"	"'06-27"
1987	1	172	168	177	"'06-21"	"'06-17"	"'06-26"
1988	1	173	170	177	"'06-21"	"'06-18"	"'06-25"
1988	2	183	179	186	"'07-01"	"'06-27"	"'07-04"
1989	1	174	171	177	"'06-23"	"'06-20"	"'06-26"
1989	2	181	178	185	"'06-30"	"'06-27"	"'07-04"
1990	1	170	167	173	"'06-19"	"'06-16"	"'06-22"
1990	2	176	173	179	"'06-25"	"'06-22"	"'06-28"
1991	1	171	168	177	"'06-20"	"'06-17"	"'06-26"
1992	1	173	168	176	"'06-21"	"'06-16"	"'06-24"
1992	2	180	177	184	"'06-28"	"'06-25"	"'07-02"
1993	1	170	166	174	"'06-19"	"'06-15"	"'06-23"
1994	1	168	165	172	"'06-17"	"'06-14"	"'06-21"
1994	2	175	171	178	"'06-24"	"'06-20"	"'06-27"
1996	1	173	170	176	"'06-21"	"'06-18"	"'06-24"
1996	2	179	176	182	"'06-27"	"'06-24"	"'06-30"
1998	1	167	164	170	"'06-16"	"'06-13"	"'06-19"
1998	2	172	168	175	"'06-21"	"'06-17"	"'06-24"
1999	1	173	170	176	"'06-22"	"'06-19"	"'06-25"
2000	1	173	170	178	"'06-21"	"'06-18"	"'06-26"
2001	1	166	162	172	"'06-15"	"'06-11"	"'06-21"
2002	1	170	167	174	"'06-19"	"'06-16"	"'06-23"
2003	1	171	168	175	"'06-20"	"'06-17"	"'06-24"
2004	1	171	167	174	"'06-19"	"'06-15"	"'06-22"
2005	1	170	167	173	"'06-19"	"'06-16"	"'06-22"
2006	1	186	180	189	"'07-05"	"'06-29"	"'07-08"
2007	1	177	172	180	"'06-26"	"'06-21"	"'06-29"
2008	1	177	173	181	"'06-25"	"'06-21"	"'06-29"
2009	1	168	164	172	"'06-17"	"'06-13"	"'06-21"
2010	1	166	161	170	"'06-15"	"'06-10"	"'06-19"
2011	1	166	162	170	"'06-15"	"'06-11"	"'06-19"
2012	1	168	163	171	"'06-15"	"'06-11"	"'06-19"
2013	1	167	162	171	"'06-16"	"'06-11"	"'06-20"
2014	1	166	161	171	"'06-15"	"'06-10"	"'06-20"
2015	1	167	163	171	"'06-16"	"'06-12"	"'06-20"
2016	1	169	163	175	"'06-17"	"'06-11"	"'06-23"
2017	1	164	161	168	"'06-13"	"'06-10"	"'06-17"
2018	1	172	167	175	"'06-21"	"'06-16"	"'06-24"
2019	1	162	158	166	"'06-11"	"'06-07"	"'06-15"
2021	1	169	163	173	"'06-18"	"'06-12"	"'06-22"
2022	1	171	168	177	"'06-20"	"'06-17"	"'06-26"
