"year"	"DEP.p"	"prob_at_med"	"TEP"
1979	119.364718312891	0.0199415905149564	415708048995028
1980	NA	NA	NA
1981	NA	NA	NA
1982	NA	NA	NA
1983	65.2019598305688	0.0418570952475664	108184193944903
1984	85.0419512844661	0.0164535725226673	358959338986687
1985	140.652469686929	0.0144016534786743	678277257137314
1986	262.533004536662	0.0179108543316589	1017981433350334
1987	167.900816397894	0.0214924014660392	542550431940294
1988	235.621803413219	0.0359636020082903	455013773183115
1989	111.909373530449	0.0144457278200268	538021073670990
1990	119.181301602202	0.023353230049716	354432400942053
1991	209.609070490248	0.0134594554979638	1081570495013712
1992	176.389166086101	0.0210047710811273	583211668309324
1993	175.491822625887	0.0178350967211218	683366469604502
1994	88.5700489581242	0.0194889583634106	315624354336465
1995	NA	NA	NA
1996	29.5883268674812	0.0217835676210516	94333000759742.7
1997	NA	NA	NA
1998	25.6282675209081	0.0238360806429844	74671805570138.4
1999	32.2509791346337	0.00786173016412241	284902998976223
2000	35.8485159547874	0.0220998738200548	112655821174902
2001	10.4403067263954	0.0301788050506381	24026110408663.4
2002	75.7008949192376	0.0197534796644968	266151951020067
2003	98.4471353225823	0.0277741840267918	246169375905266
2004	76.5124152690112	0.0198841217833016	267237713505420
2005	39.5699741186086	0.0230615259354767	119165345355997
2006	6.76209830701464	0.0102178214733081	45961629751407.4
2007	44.8805848683236	0.0357674581829424	87145041259643
2008	56.7785820090058	0.0400873501121433	98367003792823.7
2009	27.3096190880405	0.0271848779858518	69768679728910.8
2010	9.53116427460685	0.0257298890979939	25726475397947
2011	14.2366941510099	0.033502225444663	29512618808585.7
2012	3.80163396042801	0.0243016976927934	10864404696714.7
2013	16.5897510230317	0.0299960058494183	38410387514039.5
2014	21.6200658883185	0.0314549201930658	47735412034990
2015	20.0595575686568	0.0305275050353055	45635444872813.2
2016	14.523630617478	0.020368738328604	49520305583550.5
2017	21.8760810846068	0.0201003920242022	75585283585345.6
2018	28.2299707178903	0.0432165936570965	45366173047179.6
2019	20.7738666354848	0.0144825047103081	99619856281319
2020	NA	NA	NA
2021	9.25136697934871	0.039139651704636	16415767865396.3
2022	11.0144591132445	0.0205788703638753	37171825852873.5
