"year"	"No sensitivity"	"name"	"value"	"diff.rel"
1979	415708048995028	"Timing of the survey"	NA	NA
1979	415708048995028	"Egg development"	452195185669219	8.77710613551936
1979	415708048995028	"Volume filtered"	420006874348964	1.03409721421762
1979	415708048995028	"Maximum depth sampled"	413470282211353	-0.538302491155762
1979	415708048995028	"Predicted grid"	450770203856889	8.43432186281298
1979	415708048995028	"Station Sy,d=x"	NA	NA
1983	108184193944903	"Timing of the survey"	NA	NA
1983	108184193944903	"Egg development"	114720144498716	6.04150228927323
1983	108184193944903	"Volume filtered"	108665005355746	0.444437762403784
1983	108184193944903	"Maximum depth sampled"	96545133477782.8	-10.7585591228308
1983	108184193944903	"Predicted grid"	109079362602411	0.827448654804597
1983	108184193944903	"Station Sy,d=x"	112904794237454	4.36348427659831
1984	358959338986687	"Timing of the survey"	NA	NA
1984	358959338986687	"Egg development"	406816161066270	13.3321011272973
1984	358959338986687	"Volume filtered"	358958437994867	-0.000251001080524448
1984	358959338986687	"Maximum depth sampled"	355273394442098	-1.02684180191381
1984	358959338986687	"Predicted grid"	447909250396917	24.7799407201186
1984	358959338986687	"Station Sy,d=x"	372159203561203	3.6772589931156
1985	678277257137314	"Timing of the survey"	NA	NA
1985	678277257137314	"Egg development"	761053544769640	12.2039013930211
1985	678277257137314	"Volume filtered"	672187961118849	-0.897759132329607
1985	678277257137314	"Maximum depth sampled"	663110404920996	-2.23608444138747
1985	678277257137314	"Predicted grid"	814136088200382	20.0299847346296
1985	678277257137314	"Station Sy,d=x"	680797160147431	0.371515185508735
1986	1017981433350334	"Timing of the survey"	NA	NA
1986	1017981433350334	"Egg development"	1130545312360718	11.0575571737019
1986	1017981433350334	"Volume filtered"	1019591016061512	0.158115134367504
1986	1017981433350334	"Maximum depth sampled"	1024223052078013	0.613136794365418
1986	1017981433350334	"Predicted grid"	1160799058900061	14.0294921764626
1986	1017981433350334	"Station Sy,d=x"	1069310456260250	5.04223566641917
1987	542550431940294	"Timing of the survey"	NA	NA
1987	542550431940294	"Egg development"	613399192594834	13.0584654409301
1987	542550431940294	"Volume filtered"	543303461156039	0.138794326096559
1987	542550431940294	"Maximum depth sampled"	565137714506320	4.1631673732613
1987	542550431940294	"Predicted grid"	594595967940086	9.59275542619422
1987	542550431940294	"Station Sy,d=x"	522752541850712	-3.64904143911179
1988	455013773183115	"Timing of the survey"	203917066098701	-55.1844189963373
1988	455013773183115	"Egg development"	525798211236980	15.5565484443869
1988	455013773183115	"Volume filtered"	455296731734745	0.0621868102254816
1988	455013773183115	"Maximum depth sampled"	456512054334958	0.329282593219251
1988	455013773183115	"Predicted grid"	501414213914049	10.1975903732172
1988	455013773183115	"Station Sy,d=x"	469317095013240	3.14349205960591
1989	538021073670990	"Timing of the survey"	293838844429142	-45.3852536994063
1989	538021073670990	"Egg development"	600036863687760	11.5266470128443
1989	538021073670990	"Volume filtered"	507245814703595	-5.72008430030654
1989	538021073670990	"Maximum depth sampled"	400129210988798	-25.6294538318615
1989	538021073670990	"Predicted grid"	491903239181980	-8.57175243607876
1989	538021073670990	"Station Sy,d=x"	549578867971820	2.14820475747705
1990	354432400942053	"Timing of the survey"	366100938654819	3.29217579480676
1990	354432400942053	"Egg development"	406995865446057	14.8303214842365
1990	354432400942053	"Volume filtered"	401171436908267	13.1870099466036
1990	354432400942053	"Maximum depth sampled"	356103443686095	0.471470085579367
1990	354432400942053	"Predicted grid"	366063118102269	3.28150505690311
1990	354432400942053	"Station Sy,d=x"	347837902572422	-1.86058000118016
1991	1081570495013712	"Timing of the survey"	NA	NA
1991	1081570495013712	"Egg development"	1225240253616757	13.2834391531015
1991	1081570495013712	"Volume filtered"	1129728898381585	4.45263656783308
1991	1081570495013712	"Maximum depth sampled"	956872554178946	-11.5293401040109
1991	1081570495013712	"Predicted grid"	1027338568182910	-5.01418327153186
1991	1081570495013712	"Station Sy,d=x"	1141252734110932	5.51810902501215
1992	583211668309324	"Timing of the survey"	279921517483520	-52.0034435704988
1992	583211668309324	"Egg development"	654558152565250	12.2333773709899
1992	583211668309324	"Volume filtered"	532236779207654	-8.74037538539677
1992	583211668309324	"Maximum depth sampled"	474667029807790	-18.6115340963934
1992	583211668309324	"Predicted grid"	587057995931236	0.659508002139518
1992	583211668309324	"Station Sy,d=x"	598194193278000	2.56896865800179
1993	683366469604502	"Timing of the survey"	NA	NA
1993	683366469604502	"Egg development"	781306783986353	14.3320339434467
1993	683366469604502	"Volume filtered"	615065510975253	-9.99477757063183
1993	683366469604502	"Maximum depth sampled"	559619822165755	-18.108387365035
1993	683366469604502	"Predicted grid"	734512483113976	7.48441952954973
1993	683366469604502	"Station Sy,d=x"	697150833869707	2.01712622411558
1994	315624354336465	"Timing of the survey"	299759360865460	-5.02654286750417
1994	315624354336465	"Egg development"	363982699069088	15.3214870995256
1994	315624354336465	"Volume filtered"	313729568750406	-0.600329334547893
1994	315624354336465	"Maximum depth sampled"	182979226487648	-42.026265092146
1994	315624354336465	"Predicted grid"	326992671223462	3.60185034228318
1994	315624354336465	"Station Sy,d=x"	308213387478169	-2.34803390691326
1996	94333000759742.7	"Timing of the survey"	90885386762682.6	-3.65472736931251
1996	94333000759742.7	"Egg development"	105564805477024	11.9065487441529
1996	94333000759742.7	"Volume filtered"	94345766419187	0.0135325488869384
1996	94333000759742.7	"Maximum depth sampled"	112939979099088	19.724781560522
1996	94333000759742.7	"Predicted grid"	88552079889649.3	-6.12820627302723
1996	94333000759742.7	"Station Sy,d=x"	98111423179446.8	4.00540891233529
1998	74671805570138.4	"Timing of the survey"	123197449726001	64.9852294120345
1998	74671805570138.4	"Egg development"	84137902533251.2	12.6769359476938
1998	74671805570138.4	"Volume filtered"	77755697322676.6	4.12992792794004
1998	74671805570138.4	"Maximum depth sampled"	72098916162220.7	-3.44559688663347
1998	74671805570138.4	"Predicted grid"	70464731425128.8	-5.63408653759948
1998	74671805570138.4	"Station Sy,d=x"	77780075851611.6	4.16257549652212
1999	284902998976223	"Timing of the survey"	NA	NA
1999	284902998976223	"Egg development"	305700652581596	7.29990687360536
1999	284902998976223	"Volume filtered"	235263308151017	-17.4233654975844
1999	284902998976223	"Maximum depth sampled"	256899366329514	-9.82918142221657
1999	284902998976223	"Predicted grid"	273180597780410	-4.1145236231055
1999	284902998976223	"Station Sy,d=x"	198917951234668	-30.1804642459138
2000	112655821174902	"Timing of the survey"	NA	NA
2000	112655821174902	"Egg development"	127456880219104	13.1382993704543
2000	112655821174902	"Volume filtered"	104739698449384	-7.02682084508365
2000	112655821174902	"Maximum depth sampled"	59500220422100.1	-47.1840693170004
2000	112655821174902	"Predicted grid"	84422931047741.8	-25.0611906537234
2000	112655821174902	"Station Sy,d=x"	120318550455758	6.80189376895115
2001	24026110408663.4	"Timing of the survey"	NA	NA
2001	24026110408663.4	"Egg development"	27170893355594.7	13.089022290505
2001	24026110408663.4	"Volume filtered"	27591686460783.1	14.8404214892563
2001	24026110408663.4	"Maximum depth sampled"	32871395147970	36.8153004745919
2001	24026110408663.4	"Predicted grid"	19689841972221.6	-18.048149961378
2001	24026110408663.4	"Station Sy,d=x"	21661135410242.7	-9.84335357739764
2002	266151951020067	"Timing of the survey"	NA	NA
2002	266151951020067	"Egg development"	306331873492586	15.0966101576648
2002	266151951020067	"Volume filtered"	277346078076839	4.20591583637398
2002	266151951020067	"Maximum depth sampled"	265853255300550	-0.112227514535582
2002	266151951020067	"Predicted grid"	250245724513118	-5.97637043274953
2002	266151951020067	"Station Sy,d=x"	276014625060128	3.70565536050367
2003	246169375905266	"Timing of the survey"	NA	NA
2003	246169375905266	"Egg development"	279789009283166	13.6571144376779
2003	246169375905266	"Volume filtered"	251049177439014	1.98229431090008
2003	246169375905266	"Maximum depth sampled"	246169310487295	-2.65743739866835e-05
2003	246169375905266	"Predicted grid"	245037579716042	-0.459763195589272
2003	246169375905266	"Station Sy,d=x"	255471474152186	3.77873901362114
2004	267237713505420	"Timing of the survey"	NA	NA
2004	267237713505420	"Egg development"	311048992645221	16.3941228822528
2004	267237713505420	"Volume filtered"	269047138957141	0.67708461803027
2004	267237713505420	"Maximum depth sampled"	242911731622544	-9.10275034305085
2004	267237713505420	"Predicted grid"	239886126655832	-10.2349277318724
2004	267237713505420	"Station Sy,d=x"	270335267467381	1.15910060796791
2005	119165345355997	"Timing of the survey"	NA	NA
2005	119165345355997	"Egg development"	141267909318199	18.5478117788117
2005	119165345355997	"Volume filtered"	119146811525701	-0.0155530370350964
2005	119165345355997	"Maximum depth sampled"	119207189537875	0.0351143881240127
2005	119165345355997	"Predicted grid"	103668197063129	-13.0047441616281
2005	119165345355997	"Station Sy,d=x"	132252424427146	10.9822860262366
2006	45961629751407.4	"Timing of the survey"	NA	NA
2006	45961629751407.4	"Egg development"	49185172010909.2	7.01355081823026
2006	45961629751407.4	"Volume filtered"	46421863139676	1.0013426215691
2006	45961629751407.4	"Maximum depth sampled"	45973450365421.1	0.0257184396586037
2006	45961629751407.4	"Predicted grid"	48557714688817.6	5.64837441894823
2006	45961629751407.4	"Station Sy,d=x"	42391135567848.6	-7.768423798004
2007	87145041259643	"Timing of the survey"	NA	NA
2007	87145041259643	"Egg development"	98644940399254.2	13.1962748234268
2007	87145041259643	"Volume filtered"	87145041259643	0
2007	87145041259643	"Maximum depth sampled"	87145041259643	0
2007	87145041259643	"Predicted grid"	82571669344100.4	-5.24800017239832
2007	87145041259643	"Station Sy,d=x"	91545701230847	5.04981110524976
2008	98367003792823.7	"Timing of the survey"	NA	NA
2008	98367003792823.7	"Egg development"	109474969707424	11.2923698865475
2008	98367003792823.7	"Volume filtered"	98372578537432.3	0.00566729125994961
2008	98367003792823.7	"Maximum depth sampled"	96003737416181.3	-2.40249909575346
2008	98367003792823.7	"Predicted grid"	97857965760861.7	-0.517488601192036
2008	98367003792823.7	"Station Sy,d=x"	94728601615008.3	-3.69880349865942
2009	69768679728910.8	"Timing of the survey"	NA	NA
2009	69768679728910.8	"Egg development"	79941762107830.9	14.581159366134
2009	69768679728910.8	"Volume filtered"	69454394062916.9	-0.450468128700441
2009	69768679728910.8	"Maximum depth sampled"	70919702242244.3	1.6497696642762
2009	69768679728910.8	"Predicted grid"	67941791701579.5	-2.6184930464927
2009	69768679728910.8	"Station Sy,d=x"	71583774680778.2	2.60158993823601
2010	25726475397947	"Timing of the survey"	NA	NA
2010	25726475397947	"Egg development"	29696782549521.3	15.432767567885
2010	25726475397947	"Volume filtered"	25706936367867.8	-0.0759491138097291
2010	25726475397947	"Maximum depth sampled"	25672627298406.5	-0.209310053971905
2010	25726475397947	"Predicted grid"	24205044965937.9	-5.91387047185831
2010	25726475397947	"Station Sy,d=x"	27254555367206.8	5.93971753076501
2011	29512618808585.7	"Timing of the survey"	NA	NA
2011	29512618808585.7	"Egg development"	33854736576856.4	14.7127498119804
2011	29512618808585.7	"Volume filtered"	29512618808585.7	0
2011	29512618808585.7	"Maximum depth sampled"	29512618808585.7	0
2011	29512618808585.7	"Predicted grid"	22557597382705	-23.566263200802
2011	29512618808585.7	"Station Sy,d=x"	31530717050757.5	6.83808595658973
2012	10864404696714.7	"Timing of the survey"	NA	NA
2012	10864404696714.7	"Egg development"	12570081436348.1	15.6996797086287
2012	10864404696714.7	"Volume filtered"	10864404696714.7	0
2012	10864404696714.7	"Maximum depth sampled"	10864404696714.7	0
2012	10864404696714.7	"Predicted grid"	12048743298902.4	10.9010906280568
2012	10864404696714.7	"Station Sy,d=x"	10726119707018.4	-1.27282620223229
2013	38410387514039.5	"Timing of the survey"	NA	NA
2013	38410387514039.5	"Egg development"	45251730601618.3	17.811179554172
2013	38410387514039.5	"Volume filtered"	38410387514039.5	0
2013	38410387514039.5	"Maximum depth sampled"	38948673809319.2	1.40140813492952
2013	38410387514039.5	"Predicted grid"	37816171336629.8	-1.54701948058304
2013	38410387514039.5	"Station Sy,d=x"	40050158256132.6	4.26908148607919
2014	47735412034990	"Timing of the survey"	NA	NA
2014	47735412034990	"Egg development"	54413929757683.5	13.990698808252
2014	47735412034990	"Volume filtered"	47724041660962	-0.0238195786802002
2014	47735412034990	"Maximum depth sampled"	47798378847917.7	0.13190796987683
2014	47735412034990	"Predicted grid"	36136751367395.5	-24.2978119872363
2014	47735412034990	"Station Sy,d=x"	51198179070414.3	7.254084311425
2015	45635444872813.2	"Timing of the survey"	NA	NA
2015	45635444872813.2	"Egg development"	52797850336842.9	15.6948299375441
2015	45635444872813.2	"Volume filtered"	45626423058398.5	-0.0197693140493547
2015	45635444872813.2	"Maximum depth sampled"	45654080960073.8	0.0408368699210806
2015	45635444872813.2	"Predicted grid"	42024450400387.8	-7.91269698912612
2015	45635444872813.2	"Station Sy,d=x"	56837693782672.3	24.5472547513889
2016	49520305583550.5	"Timing of the survey"	NA	NA
2016	49520305583550.5	"Egg development"	60412499079136.3	21.9954084839168
2016	49520305583550.5	"Volume filtered"	49509304137332.8	-0.0222160305515532
2016	49520305583550.5	"Maximum depth sampled"	49591274595065.7	0.14331295148308
2016	49520305583550.5	"Predicted grid"	59889364215661.8	20.9390037277066
2016	49520305583550.5	"Station Sy,d=x"	49024227677242.5	-1.00176664998774
2017	75585283585345.6	"Timing of the survey"	NA	NA
2017	75585283585345.6	"Egg development"	88574639206385.7	17.185032594835
2017	75585283585345.6	"Volume filtered"	75576254986327.5	-0.0119449165099909
2017	75585283585345.6	"Maximum depth sampled"	75648280426800	0.0833453795054392
2017	75585283585345.6	"Predicted grid"	67183240930716.9	-11.1159768887308
2017	75585283585345.6	"Station Sy,d=x"	101450841395313	34.2203621962495
2018	45366173047179.6	"Timing of the survey"	NA	NA
2018	45366173047179.6	"Egg development"	52785244966968.9	16.3537530751682
2018	45366173047179.6	"Volume filtered"	45360840920906	-0.011753528930097
2018	45366173047179.6	"Maximum depth sampled"	45408871021088.5	0.0941185271778
2018	45366173047179.6	"Predicted grid"	44523455849926.6	-1.85758934608966
2018	45366173047179.6	"Station Sy,d=x"	56517605690667.8	24.5809419099358
2019	99619856281319	"Timing of the survey"	NA	NA
2019	99619856281319	"Egg development"	116642165669633	17.0872655550163
2019	99619856281319	"Volume filtered"	99616356411451.7	-0.00351322517212746
2019	99619856281319	"Maximum depth sampled"	99639067024013	0.0192840497980772
