"year"	"doy"	"5"	"6"	"7"	"8"	"n"	"prop_stage6"	"mgsi"
1979	148	14	0	0	0	14	0	NA
1979	150	6	0	0	0	6	0	NA
1979	151	12	0	0	0	12	0	NA
1979	152	12	0	0	0	12	0	NA
1979	159	5	0	0	0	5	0	NA
1979	162	5	0	0	0	5	0	NA
1979	163	38	35	17	0	90	0.388888888888889	12.0385718331609
1979	169	4	3	0	0	7	0.428571428571429	7.00660592638153
1979	170	4	3	0	0	7	0.428571428571429	8.51788244259468
1979	178	1	0	0	0	1	0	NA
1979	180	0	0	0	1	1	0	NA
1979	181	11	7	16	1	35	0.2	5.39518149861392
1979	183	2	0	0	2	4	0	NA
1979	184	1	0	0	0	1	0	NA
1979	186	2	18	3	0	23	0.782608695652174	3.14948006144445
1979	187	2	0	0	0	2	0	NA
1979	191	0	11	4	2	17	0.647058823529412	3.28765012206725
1979	193	0	0	0	1	1	0	NA
1979	194	1	0	0	4	5	0	NA
1979	198	0	0	0	5	5	0	NA
1979	202	0	0	11	45	56	0	NA
1979	204	0	0	0	2	2	0	NA
1979	205	0	0	0	8	8	0	NA
1979	213	0	0	0	6	6	0	NA
1980	148	13	0	0	0	13	0	NA
1980	154	9	2	0	0	11	0.181818181818182	11.4921720534025
1980	157	3	0	0	0	3	0	NA
1980	158	12	1	0	0	13	0.0769230769230769	10.3128338165726
1980	164	7	2	0	0	9	0.222222222222222	10.315112146266
1980	170	2	0	0	0	2	0	NA
1980	172	3	3	0	0	6	0.5	8.43094789102184
1980	182	0	4	0	0	4	1	2.93914769021518
1980	184	0	15	0	0	15	1	4.28435624493679
1980	191	0	3	0	0	3	1	3.56219521878051
1980	192	1	8	0	0	9	0.888888888888889	2.97934048468888
1980	196	1	13	1	0	15	0.866666666666667	3.6084379787428
1980	199	1	4	0	0	5	0.8	8.31433988580966
1980	206	0	3	0	0	3	1	3.31153413194322
1980	210	0	3	0	0	3	1	6.86195899194673
1980	211	0	1	0	0	1	1	4.25627240143369
1981	147	6	0	0	0	6	0	NA
1981	153	3	0	0	0	3	0	NA
1981	155	3	0	0	0	3	0	NA
