"year"	"Asym"	"xmid"	"scal"	"doytop"	"doymin"	"doymax"	"doymin70"	"doymax70"	"duration"	"trajet"	"date.med"	"prob_at_med"	"propIClwr"	"propICupr"	"propsd"	"survey_date"
1979	19.817375800596	168.700690652129	-12.3872018242996	169	123	213	147	189	90	1	166	0.0199415905149564	0.01877242748258	0.0205746060126835	0.000459131658197831	"During 70 % of spawning"
1980	17.233674438141	176.987627711857	-12.9034276078184	177	130	223	155	198	93	NA	NA	NA	NA	NA	NA	NA
1981	13.1668369548438	184.200948435364	-6.07384297569064	184	162	205	174	194	43	NA	NA	NA	NA	NA	NA	NA
1982	17.0116397558026	173.746485478546	-16.3644045577716	174	114	233	145	201	119	NA	NA	NA	NA	NA	NA	NA
1983	13.8597400634128	173.982692268927	-5.145114448825	174	155	192	165	182	37	1	178	0.0418570952475664	0.0364700211387166	0.042500105779516	0.00160417948671375	"During 70 % of spawning"
1984	18.2865639026279	169.07191281381	-14.3399257451308	169	117	221	144	193	104	1	176	0.0164535725226673	0.0146298965198045	0.0163729241032935	0.000477067995778939	"During 70 % of spawning"
1985	20.3014671462672	166.059568825237	-14.8205165084811	166	112	219	140	191	107	1	178	0.0144016534786743	0.0128649087723583	0.0147499998909109	0.000516202592630627	"During 70 % of spawning"
1986	16.7867830511582	170.973463790491	-13.6576907661293	171	121	220	147	194	99	1	175	0.0179108543316589	0.0161124646861945	0.0184775004059676	0.000614171070806051	"During 70 % of spawning"
1987	13.8434917377055	172.238581515364	-11.6290084254637	172	130	214	152	191	84	1	172	0.0214924014660392	0.0198407674763123	0.0219858842914736	0.000604719143117569	"During 70 % of spawning"
1988	14.4403258100963	174.299876511255	-6.88698375253054	174	149	199	162	185	50	1	173	0.0359636020082903	0.033626300067243	0.0378386817412078	0.00118221706877785	"During 70 % of spawning"
1988	14.4403258100963	174.299876511255	-6.88698375253054	174	149	199	162	185	50	2	183	0.0249493135412867	0.0229082951879195	0.0251480126440354	0.000581133648108306	"During 70 % of spawning"
1989	21.3451346609516	162.410130006486	-14.9434034950336	162	108	216	136	187	108	1	174	0.0144457278200268	0.0128622334855753	0.0146301280186586	0.000506405442664581	"During 70 % of spawning"
1989	21.3451346609516	162.410130006486	-14.9434034950336	162	108	216	136	187	108	2	181	0.0116226000947266	0.0103050493966907	0.0118022906894815	0.000423289360059648	"During 70 % of spawning"
1990	14.2574564455031	175.740058652747	-9.84253645983638	176	140	211	159	192	71	1	170	0.023353230049716	0.0223920860935412	0.0241900438593263	0.000468627058979019	"During 70 % of spawning"
1990	14.2574564455031	175.740058652747	-9.84253645983638	176	140	211	159	192	71	2	176	0.0253900716633861	0.0235640509908814	0.0261740090898369	0.00074490111783409	"During 70 % of spawning"
1991	21.5173802169342	163.246269712137	-17.7131961856952	163	98	227	133	193	129	1	171	0.0134594554979638	0.012165257498439	0.0151112304118103	0.000776672279270907	"During 70 % of spawning"
1992	14.9086126216725	175.290550724662	-11.7887155673105	175	132	217	155	195	85	1	173	0.0210047710811273	0.0190024779794352	0.0217671832983871	0.000833388504108702	"During 70 % of spawning"
1992	14.9086126216725	175.290550724662	-11.7887155673105	175	132	217	155	195	85	2	180	0.0203799397103315	0.0178007377812213	0.0213487441385891	0.00105919121477277	"During 70 % of spawning"
1993	17.3907205518587	173.303340390214	-13.8175332571438	173	123	223	149	196	100	1	170	0.0178350967211218	0.0164355186431903	0.0183427848933126	0.000498311341116171	"During 70 % of spawning"
1994	13.6964274881656	176.368021291434	-11.1873293330259	176	135	216	157	195	81	1	168	0.0194889583634106	0.0184821682967811	0.0203293187323111	0.000479932074713614	"During 70 % of spawning"
1994	13.6964274881656	176.368021291434	-11.1873293330259	176	135	216	157	195	81	2	175	0.022259719581979	0.0201394011663625	0.0232784617464782	0.000886830554993807	"During 70 % of spawning"
1995	13.9745288499454	177.817569100673	-10.1546481630492	178	141	214	160	194	73	NA	NA	NA	NA	NA	NA	NA
1996	17.6897810020619	168.68111446407	-11.047288156301	169	128	208	150	187	80	1	173	0.0217835676210516	0.0192278863150384	0.0231967044307368	0.000931148788114416	"During 70 % of spawning"
1996	17.6897810020619	168.68111446407	-11.047288156301	169	128	208	150	187	80	2	179	0.0183307511000564	0.0159557356103051	0.0196366616477544	0.00087178723445315	"During 70 % of spawning"
1997	15.4258915825808	174.887737879091	-8.47391230443822	175	144	205	160	189	61	NA	NA	NA	NA	NA	NA	NA
1998	16.8967778727236	166.142781448585	-10.4687618433464	166	128	203	148	183	75	1	167	0.0238360806429844	0.0216780306753637	0.024461335414774	0.000802817621975958	"During 70 % of spawning"
1998	16.8967778727236	166.142781448585	-10.4687618433464	166	128	203	148	183	75	2	172	0.0221017969254739	0.0194149476780877	0.0228579539449287	0.00101778130190506	"During 70 % of spawning"
1999	24.341217919943	145.153091130515	-15.4182558107248	145	89	201	118	171	112	1	173	0.00786173016412241	0.00697082074953328	0.00901697274294382	0.000555011158373404	"Late survey"
2000	15.3135470073588	170.766600734618	-11.1987387891575	171	130	211	151	189	81	1	173	0.0220998738200548	0.0197552058833015	0.0223878521889852	0.000710237291238645	"During 70 % of spawning"
2001	12.8152857825555	171.968199282748	-6.91169669476827	172	147	196	160	183	49	1	166	0.0301788050506381	0.0292364093078102	0.0315603876337029	0.000628628076103828	"During 70 % of spawning"
2002	15.3447237861649	172.020729680381	-12.5730127960075	172	126	217	150	193	91	1	170	0.0197534796644968	0.0180196706074363	0.0201593803880162	0.000550785788878981	"During 70 % of spawning"
2003	16.601794240928	170.299344403219	-8.98518710217795	170	137	202	155	185	65	1	171	0.0277741840267918	0.0248986263275206	0.0289423323872798	0.00102210042939608	"During 70 % of spawning"
2004	17.7062148683718	170.620975474367	-12.5683505047748	171	125	216	149	191	91	1	171	0.0198841217833016	0.017730624943766	0.0208699322599962	0.000872170394328891	"During 70 % of spawning"
2005	18.8914717909138	172.910437209711	-10.6383796197091	173	134	211	154	190	77	1	170	0.0230615259354767	0.0217354075167196	0.0238271012006293	0.000510417803757918	"During 70 % of spawning"
2006	18.1258597787342	165.389119497343	-10.3607027742908	165	127	202	147	182	75	1	186	0.0102178214733081	0.00943175700704405	0.0102804337160364	0.00022630049084053	"Late survey"
2007	13.8679866665654	177.487469844748	-6.97809892516584	177	152	202	165	189	50	1	177	0.0357674581829424	0.0328777983224592	0.037251849371977	0.00116933433588621	"During 70 % of spawning"
2008	13.0250661972977	175.62637683073	-6.15613924489558	176	153	197	165	185	44	1	177	0.0400873501121433	0.0364291628057386	0.0412786600526825	0.0013692416955878	"During 70 % of spawning"
2009	12.5696963828512	174.011148761488	-8.01327638569822	174	145	202	160	187	57	1	168	0.0271848779858518	0.0250616646826879	0.0295034039960445	0.00109124072914106	"During 70 % of spawning"
2010	15.0586693179403	170.169463194308	-9.23567997016349	170	136	203	154	185	67	1	166	0.0257298890979939	0.0242177878507871	0.0270261481888323	0.000694024038735846	"During 70 % of spawning"
2011	17.4667623112201	167.885979293201	-7.33758916760905	168	141	194	155	180	53	1	166	0.033502225444663	0.0308446150959445	0.0355105392270789	0.00133570497223448	"During 70 % of spawning"
2012	17.0366204993449	161.387251106206	-9.01815265483952	161	128	193	146	176	65	1	168	0.0243016976927934	0.0197970557536977	0.0265503941251007	0.00184733086217755	"During 70 % of spawning"
2013	15.3270450047579	168.559922296844	-8.25808021174257	169	138	198	154	182	60	1	167	0.0299960058494183	0.0272319526144452	0.0309867227099112	0.000978352718500751	"During 70 % of spawning"
2014	16.748807121089	166.652168052345	-7.93185161009575	167	138	195	153	179	57	1	166	0.0314549201930658	0.0278015033525813	0.0336614869214907	0.00147828415303775	"During 70 % of spawning"
2015	15.8985240383488	172.162212100724	-7.22526673265051	172	146	198	160	184	52	1	167	0.0305275050353055	0.0290890363944159	0.0319179735232067	0.000791599906560351	"During 70 % of spawning"
2016	20.2109970929145	163.600542514297	-11.6343334934796	164	121	205	143	183	84	1	169	0.020368738328604	0.0181983374574524	0.0215024029295658	0.000900220769582652	"During 70 % of spawning"
