"year"	"4T"	"4W"	"4X"	"4V"	"total"	"prop4T"	"prop4W"	"prop4V"
1979	325	37	234	NA	362	0.898	0.102	NA
1980	91	NA	67	24	115	0.791	NA	0.209
1981	127	25	166	27	179	0.709	0.14	0.151
1982	45	NA	233	4	49	0.918	NA	0.082
1983	420	25	65	22	467	0.899	0.054	0.047
1984	1960	55	109	121	2136	0.918	0.026	0.057
1985	1498	NA	180	NA	1498	1	NA	NA
1986	1247	NA	NA	NA	1247	1	NA	NA
1987	1050	185	NA	28	1263	0.831	0.146	0.022
1988	812	26	NA	97	935	0.868	0.028	0.104
1989	1169	57	25	120	1346	0.868	0.042	0.089
1990	1046	22	NA	141	1209	0.865	0.018	0.117
1991	644	NA	NA	74	718	0.897	NA	0.103
1992	601	NA	NA	NA	601	1	NA	NA
1993	1057	NA	6	174	1231	0.859	NA	0.141
1994	664	41	NA	82	787	0.844	0.052	0.104
1995	1181	30	68	198	1409	0.838	0.021	0.141
1996	778	16	NA	192	986	0.789	0.016	0.195
1997	1328	NA	NA	184	1512	0.878	NA	0.122
1998	1494	NA	9	273	1767	0.846	NA	0.154
1999	955	NA	42	176	1131	0.844	NA	0.156
2000	1173	NA	1	303	1476	0.795	NA	0.205
2001	1332	163	NA	165	1660	0.802	0.098	0.099
2002	1311	NA	NA	265	1576	0.832	NA	0.168
2003	1210	23	NA	378	1611	0.751	0.014	0.235
2004	1094	NA	273	246	1340	0.816	NA	0.184
2005	1121	NA	21	148	1269	0.883	NA	0.117
2006	1239	NA	NA	222	1461	0.848	NA	0.152
2007	1020	NA	NA	205	1225	0.833	NA	0.167
2008	1343	NA	NA	137	1480	0.907	NA	0.093
2009	971	39	NA	80	1090	0.891	0.036	0.073
2010	677	NA	12	NA	677	1	NA	NA
2011	714	NA	21	NA	714	1	NA	NA
2012	700	NA	NA	NA	700	1	NA	NA
2013	718	NA	NA	NA	718	1	NA	NA
2014	1038	NA	NA	NA	1038	1	NA	NA
2015	984	NA	NA	NA	984	1	NA	NA
2016	1259	NA	NA	NA	1259	1	NA	NA
2017	1111	NA	5	NA	1111	1	NA	NA
2018	806	169	18	162	1137	0.709	0.149	0.142
2019	902	63	23	6	971	0.929	0.065	0.006
2020	881	2	35	NA	883	0.998	0.002	NA
2021	1283	2	1	54	1339	0.958	0.001	0.04
2022	479	218	9	NA	697	0.687	0.313	NA
