"year"	"doy.med"	"mindoy"	"maxdoy"	"date.med"	"mindate"	"maxdate"
1983	178	174	183	"'06-27"	"'06-23"	"'07-02"
1984	176	173	181	"'06-24"	"'06-21"	"'06-29"
1985	178	173	182	"'06-27"	"'06-22"	"'07-01"
1986	175	171	178	"'06-24"	"'06-20"	"'06-27"
1987	172	168	177	"'06-21"	"'06-17"	"'06-26"
1988	173	170	177	"'06-21"	"'06-18"	"'06-25"
1989	174	171	177	"'06-23"	"'06-20"	"'06-26"
1990	170	167	173	"'06-19"	"'06-16"	"'06-22"
1991	171	168	177	"'06-20"	"'06-17"	"'06-26"
1992	173	168	176	"'06-21"	"'06-16"	"'06-24"
1993	170	166	174	"'06-19"	"'06-15"	"'06-23"
1994	168	165	172	"'06-17"	"'06-14"	"'06-21"
1996	173	170	176	"'06-21"	"'06-18"	"'06-24"
1998	167	164	170	"'06-16"	"'06-13"	"'06-19"
1999	173	170	176	"'06-22"	"'06-19"	"'06-25"
2000	173	170	178	"'06-21"	"'06-18"	"'06-26"
2001	166	162	172	"'06-15"	"'06-11"	"'06-21"
2002	170	167	174	"'06-19"	"'06-16"	"'06-23"
2003	171	168	175	"'06-20"	"'06-17"	"'06-24"
2004	171	167	174	"'06-19"	"'06-15"	"'06-22"
2005	170	167	173	"'06-19"	"'06-16"	"'06-22"
2006	186	180	189	"'07-05"	"'06-29"	"'07-08"
2007	177	172	180	"'06-26"	"'06-21"	"'06-29"
2008	177	173	181	"'06-25"	"'06-21"	"'06-29"
2009	168	164	172	"'06-17"	"'06-13"	"'06-21"
2010	166	161	170	"'06-15"	"'06-10"	"'06-19"
2011	166	162	170	"'06-15"	"'06-11"	"'06-19"
2012	168	163	171	"'06-15"	"'06-11"	"'06-19"
2013	167	162	171	"'06-16"	"'06-11"	"'06-20"
2014	166	161	171	"'06-15"	"'06-10"	"'06-20"
2015	167	163	171	"'06-16"	"'06-12"	"'06-20"
2016	169	163	175	"'06-17"	"'06-11"	"'06-23"
2017	164	161	168	"'06-13"	"'06-10"	"'06-17"
2018	172	167	175	"'06-21"	"'06-16"	"'06-24"
2019	162	158	166	"'06-11"	"'06-07"	"'06-15"
2021	169	163	173	"'06-18"	"'06-12"	"'06-22"
2022	171	168	177	"'06-20"	"'06-17"	"'06-26"
2023	172	168	177	"'06-21"	"'06-17"	"'06-26"
2024	174	169	179	"'06-22"	"'06-17"	"'06-27"
2025	169	165	174	"'06-18"	"'06-14"	"'06-23"
