"year"	"Asym"	"xmid"	"scal"	"doytop"	"doymin"	"doymax"	"doymin70"	"doymax70"	"duration"	"date.med"	"prob_at_med"	"propIClwr"	"propICupr"	"propsd"	"survey_date"
1979	19.3755782080717	171.134305760756	-11.9444807153298	171	127	214	150	191	87	NA	NA	NA	NA	NA	NA
1980	17.20331549289	177.284021245621	-12.738504792786	177	131	223	155	198	92	NA	NA	NA	NA	NA	NA
1981	13.4586158520955	184.602758569036	-6.83914514527316	185	160	209	173	195	49	NA	NA	NA	NA	NA	NA
1982	15.8083277396078	176.870208520342	-14.7329227321162	177	123	230	151	201	107	NA	NA	NA	NA	NA	NA
1983	14.0552605276905	174.41264580161	-6.16469945670279	174	152	196	164	184	44	178	0.037289656060301	0.0320050904837234	0.0384185874783662	0.00205311197759741	"During 70 % of spawning"
1984	18.0890508855353	173.200174875906	-15.107575008386	173	118	228	147	198	110	176	0.0164054822415056	0.0146785495452472	0.0156499022711615	0.000356685552938693	"During 70 % of spawning"
1985	22.5999059886848	165.503666300323	-16.3173128121451	166	106	224	137	193	118	178	0.0132773153098551	0.0115417369058842	0.0140297753589397	0.000799672466908875	"During 70 % of spawning"
1986	16.9907117752216	175.223887612646	-13.8991614528957	175	124	225	151	198	101	175	0.0179836753188527	0.0161438399167918	0.0182481812281025	0.000645706303282135	"During 70 % of spawning"
1987	13.9086810994747	174.748360718109	-10.8061371478772	175	135	213	156	192	78	172	0.0227610109394583	0.0212813004734386	0.0239874862874425	0.000925485019289632	"During 70 % of spawning"
1988	14.0292457910743	177.540127667978	-5.79701138156795	178	156	198	167	187	42	173	0.0371208348890938	0.0359938765349408	0.0399068500896522	0.00133361778724089	"During 70 % of spawning"
1989	23.0218261842916	160.784118374651	-16.2707743193031	161	101	219	133	188	118	174	0.0130855815789208	0.0112886443315568	0.0136880781356643	0.000762408102811984	"During 70 % of spawning"
1990	14.3531874738281	179.020281373812	-9.77692527554772	179	143	214	162	195	71	170	0.0208151807491419	0.0199749061280202	0.0212700685337236	0.000432594815098779	"During 70 % of spawning"
1991	20.6699312491585	167.758097652965	-17.8936194510616	168	102	232	137	198	130	171	0.0138579933382907	0.0120459636648277	0.0147543451092501	0.000908263873746437	"During 70 % of spawning"
