"year"	"4T"	"4V"	"4W"	"total"	"prop4T"	"prop4W"	"prop4V"
1979	325	NA	NA	325	1	NA	NA
1980	91	24	NA	115	0.791	NA	0.209
1981	126	27	NA	153	0.824	NA	0.176
1982	43	4	NA	47	0.915	NA	0.085
1983	416	21	25	462	0.9	0.054	0.045
1984	1956	23	31	2010	0.973	0.015	0.011
1985	1493	NA	NA	1493	1	NA	NA
1986	1243	NA	NA	1243	1	NA	NA
1987	1047	NA	155	1202	0.871	0.129	NA
1988	812	52	25	889	0.913	0.028	0.058
1989	1166	NA	1	1167	0.999	0.001	NA
1990	1043	73	22	1138	0.917	0.019	0.064
1991	643	24	NA	667	0.964	NA	0.036
1992	601	NA	NA	601	1	NA	NA
1993	1057	64	NA	1121	0.943	NA	0.057
1994	664	81	NA	745	0.891	NA	0.109
1995	1179	95	NA	1274	0.925	NA	0.075
1996	777	129	NA	906	0.858	NA	0.142
1997	1323	87	NA	1410	0.938	NA	0.062
1998	1491	87	NA	1578	0.945	NA	0.055
1999	955	176	NA	1131	0.844	NA	0.156
2000	1171	134	NA	1305	0.897	NA	0.103
2001	1330	57	NA	1387	0.959	NA	0.041
2002	1309	208	NA	1517	0.863	NA	0.137
2003	1210	106	NA	1316	0.919	NA	0.081
2004	1093	165	NA	1258	0.869	NA	0.131
2005	1121	82	NA	1203	0.932	NA	0.068
2006	1237	185	NA	1422	0.87	NA	0.13
2007	1020	159	NA	1179	0.865	NA	0.135
2008	1342	48	NA	1390	0.965	NA	0.035
2009	971	55	NA	1026	0.946	NA	0.054
2010	677	NA	NA	677	1	NA	NA
2011	714	NA	NA	714	1	NA	NA
2012	700	NA	NA	700	1	NA	NA
2013	718	NA	NA	718	1	NA	NA
2014	1037	NA	NA	1037	1	NA	NA
2015	984	NA	NA	984	1	NA	NA
2016	1258	NA	NA	1258	1	NA	NA
2017	1111	NA	NA	1111	1	NA	NA
2018	805	19	21	845	0.953	0.025	0.022
2019	901	6	5	912	0.988	0.005	0.007
2020	881	NA	NA	881	1	NA	NA
2021	1283	54	NA	1337	0.96	NA	0.04
2022	505	NA	13	518	0.975	0.025	NA
2023	746	NA	37	783	0.953	0.047	NA
2024	634	NA	44	678	0.935	0.065	NA
2025	705	NA	15	720	0.979	0.021	NA
