"year"	"Asym"	"xmid"	"scal"	"doytop"	"doymin"	"doymax"	"doymin70"	"doymax70"	"duration"	"date.med"	"prob_at_med"	"propIClwr"	"propICupr"	"propsd"	"survey_date"
1979	19.9577996536904	168.502978975483	-12.4638588028282	169	123	213	147	189	90	NA	NA	NA	NA	NA	NA
1980	17.2815000999172	177.018693298776	-12.9851111624122	177	129	224	154	199	95	NA	NA	NA	NA	NA	NA
1981	13.178729412367	184.436196789608	-6.18678726399551	184	162	206	174	194	44	NA	NA	NA	NA	NA	NA
1982	16.6734005442683	174.116010257696	-15.6271646443602	174	117	230	147	200	113	NA	NA	NA	NA	NA	NA
1983	13.8526199370828	173.981226015789	-5.17279492075843	174	155	192	165	182	37	178	0.0416933743098925	0.0367126666905939	0.0425390827177595	0.00141960552730866	"During 70 % of spawning"
1984	18.3084099650833	169.04400919208	-14.348727093021	169	116	221	144	193	105	176	0.0164370526385699	0.0146317233032809	0.0164220112269349	0.000499468081624595	"During 70 % of spawning"
1985	20.9340671533125	165.202651194107	-14.9881022152274	165	110	219	139	190	109	178	0.0139739995873389	0.0125394064787294	0.0142438880166724	0.000490619305088717	"During 70 % of spawning"
1986	16.5375234837867	171.41925755449	-13.5285883553767	171	122	220	148	194	98	175	0.0181575935423502	0.0164535570305592	0.0185426663623996	0.000592415327701258	"During 70 % of spawning"
1987	13.8674771442552	171.948079237158	-11.5959317946656	172	129	213	152	191	84	172	0.0215558469976496	0.0197770726958276	0.0220940247745209	0.000651633790727472	"During 70 % of spawning"
1988	14.4361082248292	174.292654300675	-6.8756065449907	174	149	198	162	185	49	173	0.0360255544600034	0.033346732991908	0.0385912091735669	0.00126939871753233	"During 70 % of spawning"
1989	21.5538122526218	162.103646546163	-15.0462030695981	162	107	216	136	187	109	174	0.0142667311530946	0.0124777258572364	0.0145760110456679	0.000591572042287973	"During 70 % of spawning"
1990	14.2517402744579	175.747811867746	-9.83561745048078	176	140	211	159	192	71	170	0.0233617077238097	0.0224237032470541	0.024096400749126	0.000430385415842693	"During 70 % of spawning"
1991	21.6308668273444	162.945980985599	-17.9241019584991	163	97	228	132	193	131	171	0.0132676747028774	0.0118899947403097	0.0147030612125111	0.000790337934504759	"During 70 % of spawning"
